Year,Region,Postcode,Data Item,Sum of Value
2015,ACT - East,,Number of Businesses by Industry - Other services (no.),82
2015,ACT - East,,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",176
2015,ACT - East,,Number of Businesses by Industry - Public administration and safety (no.),7
2015,ACT - East,,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",207
2015,ACT - East,,Number of Businesses by Industry - Retail trade (no.),206
2015,ACT - East,,Number of Businesses by Industry - Total (no.),1396
2015,ACT - East,,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",17
2015,ACT - East,,Number of Businesses by Industry - Wholesale trade (no.),91
2014,ACT - South West,,Number of Businesses by Industry - Accommodation and food services (no.),4
2014,ACT - South West,,Number of Businesses by Industry - Administrative and support services (no.),3
2014,ACT - South West,,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",17
2014,ACT - South West,,Number of Businesses by Industry - Arts and recreation services (no.),3
2014,ACT - South West,,Number of Businesses by Industry - Construction (no.),23
2014,ACT - South West,,Number of Businesses by Industry - Currently unknown (no.),0
2014,ACT - South West,,Number of Businesses by Industry - Education and training (no.),0
2014,ACT - South West,,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,ACT - South West,,Number of Businesses by Industry - Financial and insurance services (no.),4
2014,ACT - South West,,Number of Businesses by Industry - Health care and social assistance (no.),0
2014,ACT - South West,,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,ACT - South West,,Number of Businesses by Industry - Manufacturing (no.),3
2014,ACT - South West,,Number of Businesses by Industry - Mining (no.),0
2014,ACT - South West,,Number of Businesses by Industry - Other services (no.),0
2014,ACT - South West,,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",7
2014,ACT - South West,,Number of Businesses by Industry - Public administration and safety (no.),0
2014,ACT - South West,,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",6
2014,ACT - South West,,Number of Businesses by Industry - Retail trade (no.),0
2014,ACT - South West,,Number of Businesses by Industry - Total (no.),70
2014,ACT - South West,,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",0
2014,ACT - South West,,Number of Businesses by Industry - Wholesale trade (no.),0
2015,ACT - South West,,Number of Businesses by Industry - Accommodation and food services (no.),5
2015,ACT - South West,,Number of Businesses by Industry - Administrative and support services (no.),3
2015,ACT - South West,,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",19
2015,ACT - South West,,Number of Businesses by Industry - Arts and recreation services (no.),5
2015,ACT - South West,,Number of Businesses by Industry - Construction (no.),24
2015,ACT - South West,,Number of Businesses by Industry - Currently unknown (no.),0
2015,ACT - South West,,Number of Businesses by Industry - Education and training (no.),3
2015,ACT - South West,,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,ACT - South West,,Number of Businesses by Industry - Financial and insurance services (no.),5
2015,ACT - South West,,Number of Businesses by Industry - Health care and social assistance (no.),3
2015,ACT - South West,,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,ACT - South West,,Number of Businesses by Industry - Manufacturing (no.),3
2015,ACT - South West,,Number of Businesses by Industry - Mining (no.),0
2015,ACT - South West,,Number of Businesses by Industry - Other services (no.),3
2015,ACT - South West,,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",12
2015,ACT - South West,,Number of Businesses by Industry - Public administration and safety (no.),0
2015,ACT - South West,,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",6
2015,ACT - South West,,Number of Businesses by Industry - Retail trade (no.),0
2015,ACT - South West,,Number of Businesses by Industry - Total (no.),94
2015,ACT - South West,,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",3
2015,ACT - South West,,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Acton,2601,Number of Businesses by Industry - Accommodation and food services (no.),4
2014,Acton,2601,Number of Businesses by Industry - Administrative and support services (no.),0
2014,Acton,2601,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Acton,2601,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Acton,2601,Number of Businesses by Industry - Construction (no.),0
2014,Acton,2601,Number of Businesses by Industry - Currently unknown (no.),0
2014,Acton,2601,Number of Businesses by Industry - Education and training (no.),0
2014,Acton,2601,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Acton,2601,Number of Businesses by Industry - Financial and insurance services (no.),3
2014,Acton,2601,Number of Businesses by Industry - Health care and social assistance (no.),0
2014,Acton,2601,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Acton,2601,Number of Businesses by Industry - Manufacturing (no.),0
2014,Acton,2601,Number of Businesses by Industry - Mining (no.),0
2014,Acton,2601,Number of Businesses by Industry - Other services (no.),0
2014,Acton,2601,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",3
2014,Acton,2601,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Acton,2601,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",0
2014,Acton,2601,Number of Businesses by Industry - Retail trade (no.),0
2014,Acton,2601,Number of Businesses by Industry - Total (no.),10
2014,Acton,2601,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",0
2014,Acton,2601,Number of Businesses by Industry - Wholesale trade (no.),0
2015,Acton,2601,Number of Businesses by Industry - Accommodation and food services (no.),5
2015,Acton,2601,Number of Businesses by Industry - Administrative and support services (no.),0
2015,Acton,2601,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Acton,2601,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Acton,2601,Number of Businesses by Industry - Construction (no.),0
2015,Acton,2601,Number of Businesses by Industry - Currently unknown (no.),0
2015,Acton,2601,Number of Businesses by Industry - Education and training (no.),3
2015,Acton,2601,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Acton,2601,Number of Businesses by Industry - Financial and insurance services (no.),3
2015,Acton,2601,Number of Businesses by Industry - Health care and social assistance (no.),0
2015,Acton,2601,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Acton,2601,Number of Businesses by Industry - Manufacturing (no.),3
2015,Acton,2601,Number of Businesses by Industry - Mining (no.),0
2015,Acton,2601,Number of Businesses by Industry - Other services (no.),0
2015,Acton,2601,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",3
2015,Acton,2601,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Acton,2601,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",0
2015,Acton,2601,Number of Businesses by Industry - Retail trade (no.),0
2015,Acton,2601,Number of Businesses by Industry - Total (no.),17
2015,Acton,2601,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",0
2015,Acton,2601,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Ainslie,2602,Number of Businesses by Industry - Accommodation and food services (no.),9
2014,Ainslie,2602,Number of Businesses by Industry - Administrative and support services (no.),11
2014,Ainslie,2602,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2014,Ainslie,2602,Number of Businesses by Industry - Arts and recreation services (no.),10
2014,Ainslie,2602,Number of Businesses by Industry - Construction (no.),30
2014,Ainslie,2602,Number of Businesses by Industry - Currently unknown (no.),7
2014,Ainslie,2602,Number of Businesses by Industry - Education and training (no.),9
2014,Ainslie,2602,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2014,Ainslie,2602,Number of Businesses by Industry - Financial and insurance services (no.),15
2014,Ainslie,2602,Number of Businesses by Industry - Health care and social assistance (no.),20
2014,Ainslie,2602,Number of Businesses by Industry - Information media and telecommunications (no.),5
2014,Ainslie,2602,Number of Businesses by Industry - Manufacturing (no.),5
2014,Ainslie,2602,Number of Businesses by Industry - Mining (no.),0
2014,Ainslie,2602,Number of Businesses by Industry - Other services (no.),7
2014,Ainslie,2602,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",59
2014,Ainslie,2602,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Ainslie,2602,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",19
2014,Ainslie,2602,Number of Businesses by Industry - Retail trade (no.),9
2014,Ainslie,2602,Number of Businesses by Industry - Total (no.),230
2014,Ainslie,2602,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",6
2014,Ainslie,2602,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Ainslie,2602,Number of Businesses by Industry - Accommodation and food services (no.),11
2015,Ainslie,2602,Number of Businesses by Industry - Administrative and support services (no.),8
2015,Ainslie,2602,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",4
2015,Ainslie,2602,Number of Businesses by Industry - Arts and recreation services (no.),9
2015,Ainslie,2602,Number of Businesses by Industry - Construction (no.),32
2015,Ainslie,2602,Number of Businesses by Industry - Currently unknown (no.),6
2015,Ainslie,2602,Number of Businesses by Industry - Education and training (no.),9
2015,Ainslie,2602,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2015,Ainslie,2602,Number of Businesses by Industry - Financial and insurance services (no.),18
2015,Ainslie,2602,Number of Businesses by Industry - Health care and social assistance (no.),22
2015,Ainslie,2602,Number of Businesses by Industry - Information media and telecommunications (no.),5
2015,Ainslie,2602,Number of Businesses by Industry - Manufacturing (no.),4
2015,Ainslie,2602,Number of Businesses by Industry - Mining (no.),0
2015,Ainslie,2602,Number of Businesses by Industry - Other services (no.),9
2015,Ainslie,2602,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",62
2015,Ainslie,2602,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Ainslie,2602,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",18
2015,Ainslie,2602,Number of Businesses by Industry - Retail trade (no.),9
2015,Ainslie,2602,Number of Businesses by Industry - Total (no.),239
2015,Ainslie,2602,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",7
2015,Ainslie,2602,Number of Businesses by Industry - Wholesale trade (no.),3
2014,Amaroo,2914,Number of Businesses by Industry - Accommodation and food services (no.),7
2014,Amaroo,2914,Number of Businesses by Industry - Administrative and support services (no.),11
2014,Amaroo,2914,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",5
2014,Amaroo,2914,Number of Businesses by Industry - Arts and recreation services (no.),4
2014,Amaroo,2914,Number of Businesses by Industry - Construction (no.),82
2014,Amaroo,2914,Number of Businesses by Industry - Currently unknown (no.),6
2014,Amaroo,2914,Number of Businesses by Industry - Education and training (no.),9
2014,Amaroo,2914,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Amaroo,2914,Number of Businesses by Industry - Financial and insurance services (no.),22
2014,Amaroo,2914,Number of Businesses by Industry - Health care and social assistance (no.),5
2014,Amaroo,2914,Number of Businesses by Industry - Information media and telecommunications (no.),3
2014,Amaroo,2914,Number of Businesses by Industry - Manufacturing (no.),7
2014,Amaroo,2914,Number of Businesses by Industry - Mining (no.),0
2014,Amaroo,2914,Number of Businesses by Industry - Other services (no.),9
2014,Amaroo,2914,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",30
2014,Amaroo,2914,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Amaroo,2914,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",15
2014,Amaroo,2914,Number of Businesses by Industry - Retail trade (no.),13
2014,Amaroo,2914,Number of Businesses by Industry - Total (no.),250
2014,Amaroo,2914,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",15
2014,Amaroo,2914,Number of Businesses by Industry - Wholesale trade (no.),7
2015,Amaroo,2914,Number of Businesses by Industry - Accommodation and food services (no.),9
2015,Amaroo,2914,Number of Businesses by Industry - Administrative and support services (no.),10
2015,Amaroo,2914,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Amaroo,2914,Number of Businesses by Industry - Arts and recreation services (no.),4
2015,Amaroo,2914,Number of Businesses by Industry - Construction (no.),73
2015,Amaroo,2914,Number of Businesses by Industry - Currently unknown (no.),6
2015,Amaroo,2914,Number of Businesses by Industry - Education and training (no.),9
2015,Amaroo,2914,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2015,Amaroo,2914,Number of Businesses by Industry - Financial and insurance services (no.),23
2015,Amaroo,2914,Number of Businesses by Industry - Health care and social assistance (no.),7
2015,Amaroo,2914,Number of Businesses by Industry - Information media and telecommunications (no.),3
2015,Amaroo,2914,Number of Businesses by Industry - Manufacturing (no.),6
2015,Amaroo,2914,Number of Businesses by Industry - Mining (no.),0
2015,Amaroo,2914,Number of Businesses by Industry - Other services (no.),9
2015,Amaroo,2914,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",35
2015,Amaroo,2914,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Amaroo,2914,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",14
2015,Amaroo,2914,Number of Businesses by Industry - Retail trade (no.),13
2015,Amaroo,2914,Number of Businesses by Industry - Total (no.),248
2015,Amaroo,2914,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",13
2015,Amaroo,2914,Number of Businesses by Industry - Wholesale trade (no.),8
2014,Aranda,2614,Number of Businesses by Industry - Accommodation and food services (no.),3
2014,Aranda,2614,Number of Businesses by Industry - Administrative and support services (no.),0
2014,Aranda,2614,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",10
2014,Aranda,2614,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Aranda,2614,Number of Businesses by Industry - Construction (no.),13
2014,Aranda,2614,Number of Businesses by Industry - Currently unknown (no.),0
2014,Aranda,2614,Number of Businesses by Industry - Education and training (no.),3
2014,Aranda,2614,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Aranda,2614,Number of Businesses by Industry - Financial and insurance services (no.),10
2014,Aranda,2614,Number of Businesses by Industry - Health care and social assistance (no.),19
2014,Aranda,2614,Number of Businesses by Industry - Information media and telecommunications (no.),3
2014,Aranda,2614,Number of Businesses by Industry - Manufacturing (no.),3
2014,Aranda,2614,Number of Businesses by Industry - Mining (no.),3
2014,Aranda,2614,Number of Businesses by Industry - Other services (no.),5
2014,Aranda,2614,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",56
2014,Aranda,2614,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Aranda,2614,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",5
2014,Aranda,2614,Number of Businesses by Industry - Retail trade (no.),4
2014,Aranda,2614,Number of Businesses by Industry - Total (no.),141
2014,Aranda,2614,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",4
2014,Aranda,2614,Number of Businesses by Industry - Wholesale trade (no.),0
2015,Aranda,2614,Number of Businesses by Industry - Accommodation and food services (no.),3
2015,Aranda,2614,Number of Businesses by Industry - Administrative and support services (no.),0
2015,Aranda,2614,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",10
2015,Aranda,2614,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Aranda,2614,Number of Businesses by Industry - Construction (no.),13
2015,Aranda,2614,Number of Businesses by Industry - Currently unknown (no.),3
2015,Aranda,2614,Number of Businesses by Industry - Education and training (no.),3
2015,Aranda,2614,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Aranda,2614,Number of Businesses by Industry - Financial and insurance services (no.),10
2015,Aranda,2614,Number of Businesses by Industry - Health care and social assistance (no.),18
2015,Aranda,2614,Number of Businesses by Industry - Information media and telecommunications (no.),3
2015,Aranda,2614,Number of Businesses by Industry - Manufacturing (no.),3
2015,Aranda,2614,Number of Businesses by Industry - Mining (no.),0
2015,Aranda,2614,Number of Businesses by Industry - Other services (no.),6
2015,Aranda,2614,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",55
2015,Aranda,2614,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Aranda,2614,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",6
2015,Aranda,2614,Number of Businesses by Industry - Retail trade (no.),7
2015,Aranda,2614,Number of Businesses by Industry - Total (no.),144
2015,Aranda,2614,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",4
2015,Aranda,2614,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Banks,2906,Number of Businesses by Industry - Accommodation and food services (no.),6
2014,Banks,2906,Number of Businesses by Industry - Administrative and support services (no.),15
2014,Banks,2906,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2014,Banks,2906,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Banks,2906,Number of Businesses by Industry - Construction (no.),68
2014,Banks,2906,Number of Businesses by Industry - Currently unknown (no.),0
2014,Banks,2906,Number of Businesses by Industry - Education and training (no.),3
2014,Banks,2906,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Banks,2906,Number of Businesses by Industry - Financial and insurance services (no.),10
2014,Banks,2906,Number of Businesses by Industry - Health care and social assistance (no.),0
2014,Banks,2906,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Banks,2906,Number of Businesses by Industry - Manufacturing (no.),3
2014,Banks,2906,Number of Businesses by Industry - Mining (no.),3
2014,Banks,2906,Number of Businesses by Industry - Other services (no.),10
2014,Banks,2906,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",24
2014,Banks,2906,Number of Businesses by Industry - Public administration and safety (no.),3
2014,Banks,2906,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",4
2014,Banks,2906,Number of Businesses by Industry - Retail trade (no.),7
2014,Banks,2906,Number of Businesses by Industry - Total (no.),170
2014,Banks,2906,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",11
2014,Banks,2906,Number of Businesses by Industry - Wholesale trade (no.),0
2015,Banks,2906,Number of Businesses by Industry - Accommodation and food services (no.),4
2015,Banks,2906,Number of Businesses by Industry - Administrative and support services (no.),10
2015,Banks,2906,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Banks,2906,Number of Businesses by Industry - Arts and recreation services (no.),3
2015,Banks,2906,Number of Businesses by Industry - Construction (no.),64
2015,Banks,2906,Number of Businesses by Industry - Currently unknown (no.),0
2015,Banks,2906,Number of Businesses by Industry - Education and training (no.),3
2015,Banks,2906,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Banks,2906,Number of Businesses by Industry - Financial and insurance services (no.),10
2015,Banks,2906,Number of Businesses by Industry - Health care and social assistance (no.),0
2015,Banks,2906,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Banks,2906,Number of Businesses by Industry - Manufacturing (no.),3
2015,Banks,2906,Number of Businesses by Industry - Mining (no.),3
2015,Banks,2906,Number of Businesses by Industry - Other services (no.),10
2015,Banks,2906,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",26
2015,Banks,2906,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Banks,2906,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",7
2015,Banks,2906,Number of Businesses by Industry - Retail trade (no.),7
2015,Banks,2906,Number of Businesses by Industry - Total (no.),160
2015,Banks,2906,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",10
2015,Banks,2906,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Belconnen,2617,Number of Businesses by Industry - Accommodation and food services (no.),281
2014,Belconnen,2617,Number of Businesses by Industry - Administrative and support services (no.),272
2014,Belconnen,2617,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",92
2014,Belconnen,2617,Number of Businesses by Industry - Arts and recreation services (no.),85
2014,Belconnen,2617,Number of Businesses by Industry - Construction (no.),1116
2014,Belconnen,2617,Number of Businesses by Industry - Currently unknown (no.),89
2014,Belconnen,2617,Number of Businesses by Industry - Education and training (no.),91
2014,Belconnen,2617,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",8
2014,Belconnen,2617,Number of Businesses by Industry - Financial and insurance services (no.),284
2014,Belconnen,2617,Number of Businesses by Industry - Health care and social assistance (no.),285
2014,Belconnen,2617,Number of Businesses by Industry - Information media and telecommunications (no.),60
2014,Belconnen,2617,Number of Businesses by Industry - Manufacturing (no.),102
2014,Belconnen,2617,Number of Businesses by Industry - Mining (no.),3
2014,Belconnen,2617,Number of Businesses by Industry - Other services (no.),258
2014,Belconnen,2617,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",893
2014,Belconnen,2617,Number of Businesses by Industry - Public administration and safety (no.),20
2014,Belconnen,2617,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",344
2014,Belconnen,2617,Number of Businesses by Industry - Retail trade (no.),313
2014,Belconnen,2617,Number of Businesses by Industry - Total (no.),5020
2014,Belconnen,2617,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",360
2014,Belconnen,2617,Number of Businesses by Industry - Wholesale trade (no.),64
2015,Belconnen,2617,Number of Businesses by Industry - Accommodation and food services (no.),304
2015,Belconnen,2617,Number of Businesses by Industry - Administrative and support services (no.),274
2015,Belconnen,2617,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",91
2015,Belconnen,2617,Number of Businesses by Industry - Arts and recreation services (no.),88
2015,Belconnen,2617,Number of Businesses by Industry - Construction (no.),1075
2015,Belconnen,2617,Number of Businesses by Industry - Currently unknown (no.),75
2015,Belconnen,2617,Number of Businesses by Industry - Education and training (no.),93
2015,Belconnen,2617,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",7
2015,Belconnen,2617,Number of Businesses by Industry - Financial and insurance services (no.),302
2015,Belconnen,2617,Number of Businesses by Industry - Health care and social assistance (no.),298
2015,Belconnen,2617,Number of Businesses by Industry - Information media and telecommunications (no.),62
2015,Belconnen,2617,Number of Businesses by Industry - Manufacturing (no.),97
2015,Belconnen,2617,Number of Businesses by Industry - Mining (no.),3
2015,Belconnen,2617,Number of Businesses by Industry - Other services (no.),250
2015,Belconnen,2617,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",914
2015,Belconnen,2617,Number of Businesses by Industry - Public administration and safety (no.),16
2015,Belconnen,2617,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",351
2015,Belconnen,2617,Number of Businesses by Industry - Retail trade (no.),312
2015,Belconnen,2617,Number of Businesses by Industry - Total (no.),5030
2015,Belconnen,2617,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",346
2015,Belconnen,2617,Number of Businesses by Industry - Wholesale trade (no.),72
2014,Bonner,2914,Number of Businesses by Industry - Accommodation and food services (no.),8
2014,Bonner,2914,Number of Businesses by Industry - Administrative and support services (no.),7
2014,Bonner,2914,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Bonner,2914,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Bonner,2914,Number of Businesses by Industry - Construction (no.),58
2014,Bonner,2914,Number of Businesses by Industry - Currently unknown (no.),3
2014,Bonner,2914,Number of Businesses by Industry - Education and training (no.),0
2014,Bonner,2914,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Bonner,2914,Number of Businesses by Industry - Financial and insurance services (no.),8
2014,Bonner,2914,Number of Businesses by Industry - Health care and social assistance (no.),11
2014,Bonner,2914,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Bonner,2914,Number of Businesses by Industry - Manufacturing (no.),0
2014,Bonner,2914,Number of Businesses by Industry - Mining (no.),0
2014,Bonner,2914,Number of Businesses by Industry - Other services (no.),3
2014,Bonner,2914,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",17
2014,Bonner,2914,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Bonner,2914,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",6
2014,Bonner,2914,Number of Businesses by Industry - Retail trade (no.),6
2014,Bonner,2914,Number of Businesses by Industry - Total (no.),163
2014,Bonner,2914,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",31
2014,Bonner,2914,Number of Businesses by Industry - Wholesale trade (no.),5
2015,Bonner,2914,Number of Businesses by Industry - Accommodation and food services (no.),14
2015,Bonner,2914,Number of Businesses by Industry - Administrative and support services (no.),8
2015,Bonner,2914,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Bonner,2914,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Bonner,2914,Number of Businesses by Industry - Construction (no.),54
2015,Bonner,2914,Number of Businesses by Industry - Currently unknown (no.),0
2015,Bonner,2914,Number of Businesses by Industry - Education and training (no.),0
2015,Bonner,2914,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Bonner,2914,Number of Businesses by Industry - Financial and insurance services (no.),8
2015,Bonner,2914,Number of Businesses by Industry - Health care and social assistance (no.),10
2015,Bonner,2914,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Bonner,2914,Number of Businesses by Industry - Manufacturing (no.),3
2015,Bonner,2914,Number of Businesses by Industry - Mining (no.),0
2015,Bonner,2914,Number of Businesses by Industry - Other services (no.),5
2015,Bonner,2914,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",30
2015,Bonner,2914,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Bonner,2914,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",8
2015,Bonner,2914,Number of Businesses by Industry - Retail trade (no.),6
2015,Bonner,2914,Number of Businesses by Industry - Total (no.),179
2015,Bonner,2914,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",29
2015,Bonner,2914,Number of Businesses by Industry - Wholesale trade (no.),4
